"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1884615255088853498","Wed Jan 29 14:51:05 +0000 2025","1","Hhhh... Hari-hari merenung kenapa aku wni...
Prioritas utama perumahan tp gabisa kasih rumah terjangkau ya buat apa.
Makan bergizi gratis tp pendidikan dikalahin ya buat apa. Yg beneran laper gabisa makan tu yg gabisa sekolah","1884615255088853498","","","in","","0","0","0","https://x.com/amebunny/status/1884615255088853498","1960692877","amebunny"
"1884587298135662893","Wed Jan 29 13:00:00 +0000 2025","1","Patutkah Program Makan Bergizi Gratis Didanai dengan Zakat? https://t.co/M8TRefG3gi https://t.co/3z0ZoeKPYH","1884587298135662893","https://pbs.twimg.com/media/GiDbA4cbgAApEs_.jpg","","in","","0","0","1","https://x.com/dompetdhuafaorg/status/1884587298135662893","147889039","dompetdhuafaorg"
"1882745249170415726","Sat Jan 25 13:38:38 +0000 2025","1821","@KedaiSabalingga akan selalu gratis untuk siapapun yang dalam keadaan darurat butuh makan dan minum, juga gratis untuk rekan-rekan pengemudi ojek online yang mungkin kebetulan sedang dekat dengan Kedai dan ingin istirahat sebentar. Bentuk langkah kecil dan sederhana, tapi semoga","1883147470659850623","","miftahrizaq_","in","","3","13","99","https://x.com/miftahrizaq_/status/1883147470659850623","1687863021589467136","miftahrizaq_"
"1880458031185686911","Sat Jan 18 03:31:46 +0000 2025","558","Kebijakan Makan Bergizi Gratis (MBG) ini sebenarnya mendorong anak-anak terbiasa makan makanan sehat, seimbang, dan bergizi. Karena realitanya, masih banyak orang yang belum menganggap penting soal makanan bergizi. Cth: banyak orang tua lebih pilih kasih makanan instan ke anak,","1880458031185686911","","","in","","520","1288","86","https://x.com/TsamaraDKI/status/1880458031185686911","2786280835","TsamaraDKI"
"1884719585771085966","Wed Jan 29 21:45:40 +0000 2025","0","Makan bergizi gratis lebih utama drpd pendidikan dan kesehatan???? Emang udah nggak waras yg nyusun ini dan semua pendukungnya","1884719585771085966","","","in","","0","0","0","https://x.com/hi_helianthusss/status/1884719585771085966","1157586280340832257","hi_helianthusss"
"1876104471711011043","Mon Jan 06 04:34:55 +0000 2025","358","@vilyls Anjay, makan siangnya udah gratis.. Ada promo tambahannya pulak😱 Tambahan ancaman dan sanksi sosial kalau mempublikasikan 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂","1876125266944442556","","","in","","0","3","17","https://x.com/hammsqi/status/1876125266944442556","1100493583","hammsqi"
"1884577088591835629","Wed Jan 29 12:19:26 +0000 2025","0","Electrizen, Pemerintah mulai merealisasikan program Makan Bergizi Gratis (MBG). Program ini diluncurkan untuk mendukung salah satu dari delapan misi Asta Cita, yaitu memperkuat pembangunan sumber daya manusia (SDM). https://t.co/LcnlEJqtGj","1884577088591835629","https://pbs.twimg.com/media/Gidc3ZTaYAAollA.jpg","","in","","0","0","0","https://x.com/Hanifurqon06/status/1884577088591835629","1779808049404010496","Hanifurqon06"
"1884577182699155873","Wed Jan 29 12:19:48 +0000 2025","0","PLN sebagai BUMN terus mendukung penuh program Makan Bergizi Gratis (MBG) dari Pemerintah ini dengan memastikan pasokan listrik andal di 238 titik Satuan Pelayanan Pemenuhan Gizi (SPPG) di 31 provinsi. Langkah ini menjadi bagian dari upaya PLN untuk mendukung peningkatan gizi https://t.co/Vx4LTMaZkh","1884577182699155873","https://pbs.twimg.com/media/Gidc9MhbgAAGwia.jpg","","in","","0","0","0","https://x.com/Hanifurqon06/status/1884577182699155873","1779808049404010496","Hanifurqon06"
"1876562185633345720","Tue Jan 07 09:31:04 +0000 2025","2027","❌️ Makan Siang Gratis
✅️ Makan Sadfood Gratis","1876562185633345720","","","in","","8","56","271","https://x.com/idextratime/status/1876562185633345720","1222927522033094656","idextratime"
"1883071501710377151","Sat Jan 25 08:36:46 +0000 2025","796","BGN Buka Peluang Serangga Jadi Menu Makan Gratis di Daerah Tertentu https://t.co/yFkuDyiCvV","1883071501710377151","","","in","","334","332","186","https://x.com/CNNIndonesia/status/1883071501710377151","17128975","CNNIndonesia"
